qty_waste,timestamp,plant_id,depot_id,route_id,qty_waste,qty_waste,temperature_at_check,handling_condition,batch_id,shift,notes,soft_white,high_energy_brown,whole_grain_loaf,low_gi_seed_loaf
WST_301162,2025-05-07 11:51:24,Shepperton_Plant,Chinhoyi,RT_CHI_02,200,Damaged,22.1,Overloaded crates,BATCH_28379,Afternoon,Issue due to overloaded crates,0,2,1,0
WST_301163,2025-07-15 05:47:52,Shepperton_Plant,Mutare,RT_MUT_01,100,Quality Failure,21.3,Delayed offloading,,Morning,Issue due to delayed offloading,0,0,112,0
WST_301164,2025-06-27 15:27:16,Shepperton_Plant,Chinhoyi,RT_CHI_01,140,Returned Unsold,31.9,Rough handling,BATCH_13049,Morning,Issue due to rough handling,0,0,91,0
WST_301165,2025-04-18 12:08:13,Shepperton_Plant,Harare,RT_HAR_02,240,Expired Waste,30.4,Poor stacking,,Morning,Expired before sale,0,0,0,37
WST_301166,2025-02-25 03:04:50,Shepperton_Plant,Bindura,RT_BIN_01,29,Quality Failure,25.0,Poor stacking,BATCH_20109,Night,Issue due to poor stacking,0,0,25,32
WST_301167,2025-05-15 10:24:26,Shepperton_Plant,Chinhoyi,RT_CHI_02,43,Returned Unsold,30.1,Good,BATCH_16670,Afternoon,Routine waste inspection,86,0,0,0
WST_301168,2025-05-21 06:43:52,Shepperton_Plant,Mutare,RT_MUT_02,50,Expired Waste,19.8,Overloaded crates,BATCH_27759,Afternoon,Expired before sale,0,73,40,0
WST_301169,2025-05-14 12:35:23,Shepperton_Plant,Harare,RT_HAR_02,158,Expired Waste,26.1,Good,BATCH_15434,Afternoon,Expired before sale,80,0,0,0
WST_301170,2025-06-01 01:51:44,Shepperton_Plant,Harare,RT_HAR_02,249,Expired Waste,19.6,Poor stacking,,Night,Expired before sale,115,0,0,97
WST_301171,2025-04-20 06:54:54,Shepperton_Plant,Bindura,RT_BIN_01,20,Expired Waste,18.4,Overloaded crates,,Morning,Expired before sale,22,0,10,0
WST_301172,2025-02-08 01:42:43,Shepperton_Plant,Murehwa,RT_MUR_01,18,Expired Waste,23.2,Good,BATCH_17121,Night,Expired before sale,67,0,0,0
WST_301173,2025-04-23 02:40:27,Shepperton_Plant,Chegutu,RT_CHE_02,151,Quality Failure,27.4,Good,BATCH_14299,Night,Routine waste inspection,80,0,0,119
WST_301174,2025-03-10 06:39:58,Shepperton_Plant,Bindura,RT_BIN_01,98,Returned Unsold,28.6,Poor stacking,BATCH_14692,Afternoon,Issue due to poor stacking,0,80,0,157
WST_301175,2025-03-13 12:03:12,Shepperton_Plant,Hatcliff,RT_HAT_01,80,Damaged,29.9,Delayed offloading,BATCH_18515,Night,Issue due to delayed offloading,0,66,0,98
WST_301176,2025-01-13 22:50:43,Shepperton_Plant,Murehwa,RT_MUR_01,16,Returned Unsold,21.2,Overloaded crates,,Afternoon,Issue due to overloaded crates,0,100,82,0
WST_301177,2025-02-04 06:28:03,Shepperton_Plant,Murehwa,RT_MUR_01,94,Returned Unsold,31.3,Rough handling,BATCH_21283,Afternoon,Issue due to rough handling,0,0,58,0
WST_301178,2025-02-12 18:47:38,Shepperton_Plant,Mutare,RT_MUT_01,76,Expired Waste,30.8,Poor stacking,BATCH_22227,Night,Expired before sale,82,0,63,0
WST_301179,2025-04-05 12:58:46,Shepperton_Plant,Chegutu,RT_CHE_02,109,Damaged,22.9,Overloaded crates,BATCH_24409,Afternoon,Issue due to overloaded crates,0,89,0,187
WST_301180,2025-06-20 11:40:30,Shepperton_Plant,Mutare,RT_MUT_01,185,Returned Unsold,24.4,Rough handling,,Afternoon,Issue due to rough handling,41,17,0,0
WST_301181,2025-04-25 18:58:03,Shepperton_Plant,Harare,RT_HAR_02,51,Expired Waste,25.7,Rough handling,,Night,Expired before sale,47,22,0,0
WST_301182,2025-05-12 14:48:58,Shepperton_Plant,Mutare,RT_MUT_01,104,Damaged,31.1,Good,,Morning,Routine waste inspection,0,0,101,0
WST_301183,2025-01-21 07:01:53,Shepperton_Plant,Chegutu,RT_CHE_01,144,Returned Unsold,24.7,Poor stacking,BATCH_28651,Afternoon,Issue due to poor stacking,100,0,0,0
WST_301184,2025-04-30 18:08:07,Shepperton_Plant,Hatcliff,RT_HAT_01,176,Quality Failure,23.3,Overloaded crates,,Night,Issue due to overloaded crates,0,0,0,295
WST_301185,2025-02-05 21:50:41,Shepperton_Plant,Bindura,RT_BIN_01,109,Returned Unsold,24.5,Good,,Morning,Routine waste inspection,0,121,0,0
WST_301186,2025-07-11 05:18:06,Shepperton_Plant,Mutare,RT_MUT_01,90,Quality Failure,19.1,Overloaded crates,,Afternoon,Issue due to overloaded crates,0,0,55,0
WST_301187,2025-03-30 16:23:28,Shepperton_Plant,Bindura,RT_BIN_01,103,Returned Unsold,25.4,Overloaded crates,,Night,Issue due to overloaded crates,158,0,0,0
WST_301188,2025-07-26 09:34:51,Shepperton_Plant,Bindura,RT_BIN_01,36,Quality Failure,20.4,Rough handling,BATCH_22999,Night,Issue due to rough handling,6,3,0,0
WST_301189,2025-07-12 04:29:13,Shepperton_Plant,Bindura,RT_BIN_01,201,Returned Unsold,27.1,Overloaded crates,,Night,Issue due to overloaded crates,15,9,0,0
WST_301190,2025-03-30 23:57:34,Shepperton_Plant,Mutare,RT_MUT_02,79,Returned Unsold,21.5,Poor stacking,BATCH_13748,Morning,Issue due to poor stacking,0,0,0,46
WST_301191,2025-05-03 18:53:10,Shepperton_Plant,Mutare,RT_MUT_02,127,Damaged,29.0,Overloaded crates,BATCH_13755,Afternoon,Issue due to overloaded crates,0,68,0,0
WST_301192,2025-06-09 09:13:42,Shepperton_Plant,Hatcliff,RT_HAT_02,218,Damaged,27.1,Good,BATCH_26307,Morning,Routine waste inspection,0,0,47,0
WST_301193,2025-07-10 22:07:38,Shepperton_Plant,Murehwa,RT_MUR_01,50,Returned Unsold,23.0,Good,BATCH_29827,Afternoon,Routine waste inspection,103,54,0,0
WST_301194,2025-04-26 05:32:31,Shepperton_Plant,Chinhoyi,RT_CHI_01,24,Returned Unsold,23.8,Delayed offloading,BATCH_15675,Afternoon,Issue due to delayed offloading,128,0,0,0
WST_301195,2025-07-29 08:40:45,Shepperton_Plant,Chinhoyi,RT_CHI_02,27,Returned Unsold,21.0,Poor stacking,BATCH_23346,Morning,Issue due to poor stacking,0,4,0,0
WST_301196,2025-06-05 03:41:28,Shepperton_Plant,Murehwa,RT_MUR_01,104,Returned Unsold,25.4,Good,BATCH_21930,Night,Routine waste inspection,0,71,39,0
WST_301197,2025-03-25 22:13:24,Shepperton_Plant,Bindura,RT_BIN_01,108,Quality Failure,22.8,Rough handling,BATCH_27926,Night,Issue due to rough handling,0,0,70,69
WST_301198,2025-01-25 04:10:18,Shepperton_Plant,Murehwa,RT_MUR_01,82,Expired Waste,29.4,Poor stacking,,Afternoon,Expired before sale,118,0,42,0
WST_301199,2025-07-14 18:48:02,Shepperton_Plant,Chinhoyi,RT_CHI_01,114,Expired Waste,31.9,Overloaded crates,BATCH_13636,Night,Expired before sale,46,0,0,0
WST_301200,2025-01-11 00:10:45,Shepperton_Plant,Hatcliff,RT_HAT_02,74,Damaged,26.2,Delayed offloading,BATCH_15546,Morning,Issue due to delayed offloading,12,0,0,0
WST_301201,2025-07-24 20:06:15,Shepperton_Plant,Murehwa,RT_MUR_01,248,Damaged,31.3,Delayed offloading,,Morning,Issue due to delayed offloading,0,0,153,0
WST_301202,2025-06-16 09:35:41,Shepperton_Plant,Harare,RT_HAR_03,164,Returned Unsold,23.2,Good,BATCH_24555,Morning,Routine waste inspection,0,0,0,132
WST_301203,2025-05-27 23:02:48,Shepperton_Plant,Murehwa,RT_MUR_01,209,Damaged,29.8,Good,BATCH_17794,Morning,Routine waste inspection,0,15,0,0
WST_301204,2025-04-28 16:07:14,Shepperton_Plant,Bindura,RT_BIN_01,121,Damaged,25.3,Rough handling,BATCH_19912,Afternoon,Issue due to rough handling,0,40,0,0
WST_301205,2025-02-13 06:44:29,Shepperton_Plant,Murehwa,RT_MUR_01,219,Damaged,25.1,Delayed offloading,,Night,Issue due to delayed offloading,52,0,0,72
WST_301206,2025-03-27 03:50:04,Shepperton_Plant,Chinhoyi,RT_CHI_01,9,Damaged,22.2,Good,,Night,Routine waste inspection,118,0,53,0
WST_301207,2025-04-25 22:15:29,Shepperton_Plant,Hatcliff,RT_HAT_02,158,Returned Unsold,21.2,Good,BATCH_11834,Morning,Routine waste inspection,159,0,0,137
WST_301208,2025-03-26 07:24:28,Shepperton_Plant,Mutare,RT_MUT_01,217,Damaged,18.4,Good,,Afternoon,Routine waste inspection,0,0,59,41
WST_301209,2025-06-12 22:44:14,Shepperton_Plant,Hatcliff,RT_HAT_01,49,Damaged,31.7,Good,BATCH_28655,Morning,Routine waste inspection,155,0,57,0
WST_301210,2025-02-08 09:59:04,Shepperton_Plant,Bindura,RT_BIN_01,221,Quality Failure,27.4,Rough handling,BATCH_27096,Night,Issue due to rough handling,0,0,0,220
WST_301211,2025-03-08 07:13:14,Shepperton_Plant,Chinhoyi,RT_CHI_01,123,Quality Failure,24.0,Overloaded crates,,Afternoon,Issue due to overloaded crates,80,0,61,0
WST_301212,2025-07-27 14:03:11,Shepperton_Plant,Murehwa,RT_MUR_01,150,Expired Waste,19.2,Delayed offloading,BATCH_24327,Morning,Expired before sale,47,31,0,0
WST_301213,2025-01-31 19:08:11,Shepperton_Plant,Chegutu,RT_CHE_01,224,Quality Failure,27.9,Poor stacking,BATCH_15384,Afternoon,Issue due to poor stacking,0,0,0,233
WST_301214,2025-07-21 07:25:53,Shepperton_Plant,Murehwa,RT_MUR_01,92,Quality Failure,24.7,Good,,Night,Routine waste inspection,0,13,0,22
WST_301215,2025-01-07 11:52:13,Shepperton_Plant,Bindura,RT_BIN_01,206,Quality Failure,21.1,Poor stacking,BATCH_19572,Night,Issue due to poor stacking,0,0,32,0
WST_301216,2025-03-10 09:53:58,Shepperton_Plant,Bindura,RT_BIN_01,30,Returned Unsold,21.0,Good,BATCH_13056,Night,Routine waste inspection,151,45,0,0
WST_301217,2025-03-30 17:57:37,Shepperton_Plant,Bindura,RT_BIN_01,211,Expired Waste,19.0,Rough handling,BATCH_23397,Afternoon,Expired before sale,0,0,125,157
WST_301218,2025-03-16 12:40:01,Shepperton_Plant,Hatcliff,RT_HAT_01,96,Expired Waste,31.2,Poor stacking,,Morning,Expired before sale,0,0,105,90
WST_301219,2025-07-02 23:24:28,Shepperton_Plant,Hatcliff,RT_HAT_02,186,Expired Waste,30.2,Poor stacking,,Night,Expired before sale,0,46,0,0
WST_301220,2025-04-07 14:36:28,Shepperton_Plant,Chinhoyi,RT_CHI_02,176,Returned Unsold,19.2,Rough handling,BATCH_21699,Morning,Issue due to rough handling,0,50,0,0
WST_301221,2025-04-15 13:36:52,Shepperton_Plant,Bindura,RT_BIN_01,120,Expired Waste,29.4,Poor stacking,BATCH_18667,Morning,Expired before sale,0,7,0,0
WST_301222,2025-02-25 15:57:59,Shepperton_Plant,Harare,RT_HAR_03,246,Quality Failure,20.0,Poor stacking,BATCH_26623,Afternoon,Issue due to poor stacking,13,0,0,0
WST_301223,2025-06-03 01:29:01,Shepperton_Plant,Chegutu,RT_CHE_02,46,Returned Unsold,29.6,Rough handling,,Morning,Issue due to rough handling,0,9,0,0
WST_301224,2025-07-08 18:45:33,Shepperton_Plant,Bindura,RT_BIN_01,154,Quality Failure,31.1,Poor stacking,,Afternoon,Issue due to poor stacking,0,67,0,150
WST_301225,2025-06-16 10:55:04,Shepperton_Plant,Bindura,RT_BIN_01,152,Quality Failure,26.1,Poor stacking,BATCH_22236,Night,Issue due to poor stacking,0,0,108,0
WST_301226,2025-05-28 21:51:34,Shepperton_Plant,Hatcliff,RT_HAT_01,25,Expired Waste,30.4,Delayed offloading,BATCH_28864,Afternoon,Expired before sale,0,0,48,0
WST_301227,2025-06-15 11:04:54,Shepperton_Plant,Chinhoyi,RT_CHI_02,178,Damaged,20.8,Overloaded crates,BATCH_14821,Morning,Issue due to overloaded crates,0,0,21,0
WST_301228,2025-05-15 20:41:05,Shepperton_Plant,Harare,RT_HAR_03,142,Damaged,27.2,Overloaded crates,BATCH_15907,Morning,Issue due to overloaded crates,0,7,0,9
WST_301229,2025-05-29 15:15:00,Shepperton_Plant,Hatcliff,RT_HAT_02,148,Returned Unsold,19.7,Delayed offloading,,Night,Issue due to delayed offloading,0,30,13,0
WST_301230,2025-04-14 19:55:22,Shepperton_Plant,Murehwa,RT_MUR_01,141,Damaged,29.9,Delayed offloading,BATCH_24519,Night,Issue due to delayed offloading,0,73,0,0
WST_301231,2025-07-28 17:55:58,Shepperton_Plant,Murehwa,RT_MUR_01,5,Returned Unsold,21.0,Delayed offloading,BATCH_18851,Afternoon,Issue due to delayed offloading,48,0,23,0
WST_301232,2025-04-08 20:26:04,Shepperton_Plant,Chinhoyi,RT_CHI_02,39,Damaged,19.1,Poor stacking,,Morning,Issue due to poor stacking,0,60,0,0
WST_301233,2025-04-11 04:03:04,Shepperton_Plant,Mutare,RT_MUT_01,14,Returned Unsold,18.3,Good,BATCH_12317,Afternoon,Routine waste inspection,0,0,117,138
WST_301234,2025-07-01 13:38:22,Shepperton_Plant,Harare,RT_HAR_01,134,Returned Unsold,18.8,Overloaded crates,BATCH_25839,Afternoon,Issue due to overloaded crates,0,0,80,106
WST_301235,2025-01-30 17:21:41,Shepperton_Plant,Mutare,RT_MUT_01,55,Expired Waste,31.9,Poor stacking,,Morning,Expired before sale,7,0,0,8
WST_301236,2025-02-02 04:40:52,Shepperton_Plant,Chinhoyi,RT_CHI_02,14,Quality Failure,18.1,Delayed offloading,,Morning,Issue due to delayed offloading,0,126,0,133
WST_301237,2025-04-27 08:27:09,Shepperton_Plant,Harare,RT_HAR_01,205,Returned Unsold,28.5,Delayed offloading,,Afternoon,Issue due to delayed offloading,0,0,0,186
WST_301238,2025-07-03 10:21:55,Shepperton_Plant,Harare,RT_HAR_01,139,Quality Failure,21.2,Rough handling,BATCH_16060,Afternoon,Issue due to rough handling,0,133,68,0
WST_301239,2025-07-12 02:03:24,Shepperton_Plant,Bindura,RT_BIN_01,184,Returned Unsold,20.3,Poor stacking,,Night,Issue due to poor stacking,0,0,0,265
WST_301240,2025-05-06 11:48:22,Shepperton_Plant,Murehwa,RT_MUR_01,145,Quality Failure,26.7,Rough handling,BATCH_25867,Morning,Issue due to rough handling,0,13,0,18
WST_301241,2025-01-03 17:47:04,Shepperton_Plant,Hatcliff,RT_HAT_01,176,Quality Failure,29.5,Rough handling,BATCH_21380,Morning,Issue due to rough handling,0,112,62,0
WST_301242,2025-04-05 14:59:36,Shepperton_Plant,Chinhoyi,RT_CHI_02,150,Expired Waste,29.4,Rough handling,,Afternoon,Expired before sale,24,0,0,34
WST_301243,2025-01-15 10:35:52,Shepperton_Plant,Hatcliff,RT_HAT_02,239,Damaged,18.6,Delayed offloading,BATCH_11055,Morning,Issue due to delayed offloading,0,13,0,21
WST_301244,2025-02-15 08:09:02,Shepperton_Plant,Murehwa,RT_MUR_01,209,Quality Failure,22.7,Poor stacking,BATCH_23863,Night,Issue due to poor stacking,115,71,0,0
WST_301245,2025-03-21 23:52:22,Shepperton_Plant,Chinhoyi,RT_CHI_02,180,Damaged,22.8,Rough handling,BATCH_23949,Morning,Issue due to rough handling,0,6,0,0
WST_301246,2025-07-03 19:03:46,Shepperton_Plant,Chinhoyi,RT_CHI_01,243,Returned Unsold,24.5,Delayed offloading,,Afternoon,Issue due to delayed offloading,148,0,53,0
WST_301247,2025-03-03 23:19:02,Shepperton_Plant,Bindura,RT_BIN_01,198,Expired Waste,21.2,Delayed offloading,,Night,Expired before sale,0,0,83,80
WST_301248,2025-04-05 01:32:05,Shepperton_Plant,Chinhoyi,RT_CHI_01,133,Damaged,27.0,Delayed offloading,BATCH_28929,Morning,Issue due to delayed offloading,68,0,0,0
WST_301249,2025-07-21 02:25:13,Shepperton_Plant,Mutare,RT_MUT_02,17,Returned Unsold,24.5,Poor stacking,BATCH_27874,Morning,Issue due to poor stacking,0,0,22,0
WST_301250,2025-06-08 00:11:17,Shepperton_Plant,Chegutu,RT_CHE_02,161,Damaged,31.7,Delayed offloading,,Morning,Issue due to delayed offloading,0,0,148,0
WST_301251,2025-02-12 11:43:33,Shepperton_Plant,Chegutu,RT_CHE_01,72,Quality Failure,29.0,Delayed offloading,,Afternoon,Issue due to delayed offloading,59,0,35,0
WST_301252,2025-01-28 13:54:25,Shepperton_Plant,Hatcliff,RT_HAT_02,184,Damaged,29.5,Overloaded crates,,Afternoon,Issue due to overloaded crates,8,2,0,0
WST_301253,2025-07-20 09:11:44,Shepperton_Plant,Murehwa,RT_MUR_01,202,Quality Failure,31.6,Poor stacking,,Night,Issue due to poor stacking,0,0,0,129
WST_301254,2025-02-23 12:08:07,Shepperton_Plant,Harare,RT_HAR_03,113,Damaged,28.7,Overloaded crates,,Afternoon,Issue due to overloaded crates,0,0,123,173
WST_301255,2025-02-24 00:51:50,Shepperton_Plant,Harare,RT_HAR_03,116,Expired Waste,29.2,Overloaded crates,BATCH_21410,Night,Expired before sale,0,84,0,98
WST_301256,2025-06-18 17:24:05,Shepperton_Plant,Murehwa,RT_MUR_01,233,Expired Waste,25.6,Good,,Afternoon,Expired before sale,0,30,0,0
WST_301257,2025-04-22 20:17:44,Shepperton_Plant,Hatcliff,RT_HAT_01,181,Returned Unsold,25.6,Rough handling,BATCH_28071,Morning,Issue due to rough handling,0,0,143,0
WST_301258,2025-03-27 09:58:53,Shepperton_Plant,Murehwa,RT_MUR_01,232,Expired Waste,19.4,Rough handling,BATCH_24421,Afternoon,Expired before sale,73,0,0,0
WST_301259,2025-04-07 03:29:06,Shepperton_Plant,Murehwa,RT_MUR_01,100,Quality Failure,30.7,Poor stacking,BATCH_11116,Night,Issue due to poor stacking,0,0,97,0
WST_301260,2025-02-20 23:38:33,Shepperton_Plant,Chinhoyi,RT_CHI_02,174,Damaged,29.8,Rough handling,BATCH_13831,Morning,Issue due to rough handling,0,33,0,63
WST_301261,2025-05-11 16:42:28,Shepperton_Plant,Hatcliff,RT_HAT_01,241,Quality Failure,28.1,Poor stacking,,Afternoon,Issue due to poor stacking,0,0,0,19
WST_301262,2025-01-11 00:19:04,Shepperton_Plant,Bindura,RT_BIN_01,38,Damaged,26.2,Delayed offloading,BATCH_12668,Night,Issue due to delayed offloading,0,46,0,74
WST_301263,2025-03-28 14:37:38,Shepperton_Plant,Chinhoyi,RT_CHI_02,89,Returned Unsold,30.5,Overloaded crates,,Night,Issue due to overloaded crates,113,0,0,0
WST_301264,2025-02-24 03:03:57,Shepperton_Plant,Chegutu,RT_CHE_02,171,Returned Unsold,18.0,Rough handling,BATCH_16939,Afternoon,Issue due to rough handling,0,58,50,0
WST_301265,2025-07-27 22:37:38,Shepperton_Plant,Murehwa,RT_MUR_01,190,Damaged,31.4,Poor stacking,,Night,Issue due to poor stacking,116,0,0,78
WST_301266,2025-02-04 22:46:19,Shepperton_Plant,Murehwa,RT_MUR_01,218,Returned Unsold,21.2,Delayed offloading,,Morning,Issue due to delayed offloading,0,15,0,0
WST_301267,2025-07-12 15:19:08,Shepperton_Plant,Bindura,RT_BIN_01,135,Damaged,27.2,Poor stacking,,Afternoon,Issue due to poor stacking,0,0,0,88
WST_301268,2025-03-22 21:00:59,Shepperton_Plant,Harare,RT_HAR_03,221,Returned Unsold,25.6,Poor stacking,BATCH_29904,Afternoon,Issue due to poor stacking,0,85,81,0
WST_301269,2025-01-14 15:34:40,Shepperton_Plant,Hatcliff,RT_HAT_01,124,Expired Waste,30.0,Good,BATCH_28074,Night,Expired before sale,0,103,0,0
WST_301270,2025-07-05 17:23:13,Shepperton_Plant,Mutare,RT_MUT_01,107,Expired Waste,23.0,Delayed offloading,,Night,Expired before sale,0,24,0,0
WST_301271,2025-05-25 06:42:39,Shepperton_Plant,Chegutu,RT_CHE_02,183,Quality Failure,31.1,Overloaded crates,BATCH_26662,Morning,Issue due to overloaded crates,0,98,0,0
WST_301272,2025-07-16 16:49:46,Shepperton_Plant,Murehwa,RT_MUR_01,111,Damaged,30.8,Rough handling,BATCH_12587,Afternoon,Issue due to rough handling,0,0,98,107
WST_301273,2025-06-26 18:02:37,Shepperton_Plant,Hatcliff,RT_HAT_01,83,Returned Unsold,22.0,Poor stacking,,Night,Issue due to poor stacking,76,0,49,0
WST_301274,2025-01-19 01:15:57,Shepperton_Plant,Harare,RT_HAR_02,34,Expired Waste,22.0,Overloaded crates,BATCH_29136,Afternoon,Expired before sale,0,24,0,56
WST_301275,2025-05-12 15:43:14,Shepperton_Plant,Chinhoyi,RT_CHI_02,189,Damaged,23.3,Poor stacking,BATCH_28598,Night,Issue due to poor stacking,0,103,0,0
WST_301276,2025-01-28 09:35:22,Shepperton_Plant,Harare,RT_HAR_01,12,Quality Failure,28.7,Good,,Night,Routine waste inspection,0,0,0,28
WST_301277,2025-02-10 14:48:32,Shepperton_Plant,Bindura,RT_BIN_01,209,Returned Unsold,23.5,Good,BATCH_19549,Night,Routine waste inspection,55,0,0,0
WST_301278,2025-03-21 00:28:19,Shepperton_Plant,Hatcliff,RT_HAT_02,34,Expired Waste,18.9,Overloaded crates,,Night,Expired before sale,0,112,60,0
WST_301279,2025-04-14 00:51:24,Shepperton_Plant,Harare,RT_HAR_03,30,Damaged,25.6,Overloaded crates,BATCH_28354,Night,Issue due to overloaded crates,0,23,0,38
WST_301280,2025-06-30 17:25:08,Shepperton_Plant,Chegutu,RT_CHE_01,242,Expired Waste,21.4,Poor stacking,BATCH_16491,Morning,Expired before sale,0,0,45,37
WST_301281,2025-07-15 02:16:03,Shepperton_Plant,Harare,RT_HAR_01,244,Returned Unsold,21.0,Rough handling,,Morning,Issue due to rough handling,0,51,0,0
WST_301282,2025-05-16 19:28:31,Shepperton_Plant,Chegutu,RT_CHE_01,5,Expired Waste,22.6,Poor stacking,,Afternoon,Expired before sale,0,45,0,0
WST_301283,2025-02-25 22:32:57,Shepperton_Plant,Chinhoyi,RT_CHI_01,193,Expired Waste,21.8,Delayed offloading,,Night,Expired before sale,0,0,0,234
WST_301284,2025-04-22 19:04:32,Shepperton_Plant,Mutare,RT_MUT_02,37,Returned Unsold,22.1,Overloaded crates,,Night,Issue due to overloaded crates,141,0,45,0
WST_301285,2025-02-20 02:01:01,Shepperton_Plant,Mutare,RT_MUT_01,21,Damaged,19.2,Delayed offloading,BATCH_10162,Morning,Issue due to delayed offloading,0,0,112,0
WST_301286,2025-02-24 13:13:19,Shepperton_Plant,Hatcliff,RT_HAT_01,176,Expired Waste,21.9,Poor stacking,BATCH_28453,Afternoon,Expired before sale,144,0,0,153
WST_301287,2025-07-12 14:04:35,Shepperton_Plant,Harare,RT_HAR_01,31,Quality Failure,31.1,Good,BATCH_16888,Morning,Routine waste inspection,102,0,56,0
WST_301288,2025-03-21 16:56:48,Shepperton_Plant,Mutare,RT_MUT_02,152,Returned Unsold,23.7,Delayed offloading,BATCH_19335,Morning,Issue due to delayed offloading,0,0,36,54
WST_301289,2025-03-17 03:17:58,Shepperton_Plant,Hatcliff,RT_HAT_01,249,Damaged,21.7,Poor stacking,BATCH_24974,Afternoon,Issue due to poor stacking,0,44,0,60
WST_301290,2025-05-27 18:06:03,Shepperton_Plant,Chegutu,RT_CHE_02,155,Returned Unsold,29.0,Delayed offloading,,Afternoon,Issue due to delayed offloading,0,0,167,0
WST_301291,2025-04-19 00:09:55,Shepperton_Plant,Murehwa,RT_MUR_01,191,Damaged,19.3,Rough handling,,Night,Issue due to rough handling,0,0,71,0
WST_301292,2025-05-08 23:39:23,Shepperton_Plant,Chinhoyi,RT_CHI_01,225,Quality Failure,23.1,Delayed offloading,BATCH_14739,Night,Issue due to delayed offloading,0,121,0,140
WST_301293,2025-03-31 14:28:54,Shepperton_Plant,Chinhoyi,RT_CHI_01,195,Damaged,18.6,Delayed offloading,,Morning,Issue due to delayed offloading,46,18,0,0
WST_301294,2025-03-14 02:09:16,Shepperton_Plant,Mutare,RT_MUT_01,86,Returned Unsold,21.1,Delayed offloading,BATCH_12772,Morning,Issue due to delayed offloading,102,0,0,0
WST_301295,2025-03-15 08:05:56,Shepperton_Plant,Hatcliff,RT_HAT_01,20,Returned Unsold,20.4,Delayed offloading,BATCH_23436,Morning,Issue due to delayed offloading,131,0,0,138
WST_301296,2025-07-06 14:21:07,Shepperton_Plant,Harare,RT_HAR_03,37,Returned Unsold,31.4,Poor stacking,BATCH_14822,Afternoon,Issue due to poor stacking,0,68,0,0
WST_301297,2025-03-11 16:40:56,Shepperton_Plant,Hatcliff,RT_HAT_01,186,Damaged,28.8,Rough handling,,Afternoon,Issue due to rough handling,0,0,81,0
WST_301298,2025-01-18 10:43:14,Shepperton_Plant,Bindura,RT_BIN_01,201,Damaged,25.4,Overloaded crates,BATCH_26577,Afternoon,Issue due to overloaded crates,83,0,0,100
WST_301299,2025-02-25 17:03:37,Shepperton_Plant,Bindura,RT_BIN_01,163,Quality Failure,26.4,Overloaded crates,BATCH_23596,Afternoon,Issue due to overloaded crates,61,0,0,90
WST_301300,2025-05-04 14:35:44,Shepperton_Plant,Bindura,RT_BIN_01,203,Expired Waste,19.7,Poor stacking,BATCH_11009,Morning,Expired before sale,0,57,28,0
WST_301301,2025-06-11 02:07:11,Shepperton_Plant,Chegutu,RT_CHE_01,198,Quality Failure,18.3,Delayed offloading,BATCH_18722,Morning,Issue due to delayed offloading,77,0,0,67
WST_301302,2025-07-13 09:17:46,Shepperton_Plant,Chinhoyi,RT_CHI_01,87,Returned Unsold,30.7,Poor stacking,BATCH_27400,Night,Issue due to poor stacking,0,84,73,0
WST_301303,2025-03-17 16:29:59,Shepperton_Plant,Hatcliff,RT_HAT_02,228,Quality Failure,25.2,Delayed offloading,BATCH_13350,Night,Issue due to delayed offloading,90,31,0,0
WST_301304,2025-04-12 15:50:06,Shepperton_Plant,Chinhoyi,RT_CHI_01,111,Expired Waste,24.4,Poor stacking,BATCH_21107,Morning,Expired before sale,0,108,0,0
WST_301305,2025-01-29 23:29:31,Shepperton_Plant,Chegutu,RT_CHE_01,46,Expired Waste,18.2,Delayed offloading,BATCH_11268,Afternoon,Expired before sale,115,0,36,0
WST_301306,2025-02-22 05:22:01,Shepperton_Plant,Harare,RT_HAR_03,98,Damaged,24.4,Good,,Afternoon,Routine waste inspection,0,25,14,0
WST_301307,2025-03-28 11:36:24,Shepperton_Plant,Chegutu,RT_CHE_01,140,Quality Failure,22.9,Rough handling,BATCH_12453,Afternoon,Issue due to rough handling,0,37,0,0
WST_301308,2025-07-08 09:52:00,Shepperton_Plant,Hatcliff,RT_HAT_02,188,Damaged,19.6,Overloaded crates,BATCH_18619,Night,Issue due to overloaded crates,163,0,0,125
WST_301309,2025-05-16 21:46:48,Shepperton_Plant,Chinhoyi,RT_CHI_02,184,Returned Unsold,26.2,Rough handling,BATCH_29977,Afternoon,Issue due to rough handling,49,0,33,0
WST_301310,2025-05-25 04:46:59,Shepperton_Plant,Chinhoyi,RT_CHI_01,187,Damaged,26.9,Rough handling,BATCH_10404,Morning,Issue due to rough handling,0,0,0,133
WST_301311,2025-04-20 15:34:20,Shepperton_Plant,Harare,RT_HAR_03,68,Damaged,26.3,Poor stacking,BATCH_10641,Afternoon,Issue due to poor stacking,53,0,0,62
WST_301312,2025-03-28 06:14:00,Shepperton_Plant,Murehwa,RT_MUR_01,96,Quality Failure,25.9,Rough handling,,Morning,Issue due to rough handling,24,0,8,0
WST_301313,2025-04-25 07:00:13,Shepperton_Plant,Bindura,RT_BIN_01,64,Quality Failure,20.5,Overloaded crates,BATCH_15027,Morning,Issue due to overloaded crates,0,0,37,46
