qc_id,timestamp,batch_id,sku,parameter,value,pass_fail
QC_501486,2025-07-23,BATCH_23614,Whole grain loaf,weight,0.99,pass
QC_501487,2025-05-24,BATCH_20827,High Energy Brown,weight,0.88,fail
QC_501488,2025-03-04,BATCH_21117,Low GI Seed loaf,moisture,0.92,fail
QC_501489,2025-03-11,BATCH_21672,Soft white,moisture,0.97,pass
QC_501490,2025-04-15,BATCH_20029,Soft white,temperature,0.87,fail
QC_501491,2025-07-28,BATCH_25661,Low GI Seed loaf,weight,0.98,pass
QC_501492,2025-05-19,BATCH_24008,Low GI Seed loaf,seal_strength,0.9,fail
QC_501493,2025-01-13,BATCH_23541,High Energy Brown,moisture,1.1,pass
QC_501494,2025-06-16,BATCH_21450,High Energy Brown,weight,0.98,pass
QC_501495,2025-03-18,BATCH_24735,High Energy Brown,temperature,1.17,pass
QC_501496,2025-02-09,BATCH_21189,Low GI Seed loaf,seal_strength,1.05,pass
QC_501497,2025-03-10,BATCH_21857,High Energy Brown,seal_strength,1.06,pass
QC_501498,2025-06-05,BATCH_23358,Soft white,moisture,1.03,pass
QC_501499,2025-07-16,BATCH_25731,High Energy Brown,weight,1.18,pass
QC_501500,2025-02-24,BATCH_23283,Whole grain loaf,moisture,0.84,fail
QC_501501,2025-01-18,BATCH_23389,Whole grain loaf,moisture,1.15,pass
QC_501502,2025-02-08,BATCH_22668,Low GI Seed loaf,temperature,1.14,pass
QC_501503,2025-03-19,BATCH_22932,Soft white,temperature,1.02,pass
QC_501504,2025-06-25,BATCH_23240,Whole grain loaf,weight,0.98,pass
QC_501505,2025-01-12,BATCH_23136,High Energy Brown,moisture,0.86,fail
QC_501506,2025-02-25,BATCH_25740,High Energy Brown,weight,0.91,fail
QC_501507,2025-06-12,BATCH_22663,Whole grain loaf,temperature,1.11,pass
QC_501508,2025-03-03,BATCH_22239,Soft white,seal_strength,0.86,fail
QC_501509,2025-05-04,BATCH_22380,High Energy Brown,seal_strength,1.07,pass
QC_501510,2025-01-18,BATCH_24918,Whole grain loaf,seal_strength,0.82,fail
QC_501511,2025-04-08,BATCH_21798,High Energy Brown,weight,1.0,pass
QC_501512,2025-06-07,BATCH_24935,Whole grain loaf,weight,1.08,pass
QC_501513,2025-04-18,BATCH_21077,Low GI Seed loaf,weight,1.07,pass
QC_501514,2025-03-07,BATCH_25402,Soft white,weight,1.07,pass
QC_501515,2025-03-05,BATCH_20874,Whole grain loaf,seal_strength,0.94,fail
QC_501516,2025-04-22,BATCH_21046,Low GI Seed loaf,weight,0.87,fail
QC_501517,2025-05-05,BATCH_21003,Whole grain loaf,weight,1.0,pass
QC_501518,2025-01-10,BATCH_24849,Whole grain loaf,moisture,0.82,fail
QC_501519,2025-02-12,BATCH_24591,Whole grain loaf,weight,0.99,pass
QC_501520,2025-07-12,BATCH_20150,Low GI Seed loaf,temperature,0.83,fail
QC_501521,2025-07-11,BATCH_20400,Whole grain loaf,temperature,0.84,fail
QC_501522,2025-02-03,BATCH_24437,High Energy Brown,temperature,1.18,pass
QC_501523,2025-04-23,BATCH_20775,Low GI Seed loaf,temperature,1.09,pass
QC_501524,2025-07-07,BATCH_25786,Soft white,seal_strength,1.07,pass
QC_501525,2025-07-07,BATCH_25545,Low GI Seed loaf,moisture,1.0,pass
QC_501526,2025-05-26,BATCH_24061,Whole grain loaf,moisture,0.94,fail
QC_501527,2025-05-04,BATCH_21958,Low GI Seed loaf,seal_strength,1.16,pass
QC_501528,2025-07-25,BATCH_23826,Soft white,seal_strength,0.92,fail
QC_501529,2025-01-14,BATCH_24090,Soft white,temperature,1.09,pass
QC_501530,2025-04-18,BATCH_24259,Low GI Seed loaf,seal_strength,0.85,fail
QC_501531,2025-05-19,BATCH_21287,Low GI Seed loaf,seal_strength,1.17,pass
QC_501532,2025-02-16,BATCH_25728,Whole grain loaf,temperature,0.92,fail
QC_501533,2025-01-27,BATCH_21004,Low GI Seed loaf,seal_strength,1.16,pass
QC_501534,2025-03-14,BATCH_25801,High Energy Brown,seal_strength,0.98,pass
QC_501535,2025-04-04,BATCH_23313,High Energy Brown,seal_strength,1.02,pass
QC_501536,2025-07-06,BATCH_25516,High Energy Brown,moisture,0.88,fail
QC_501537,2025-04-11,BATCH_25687,Whole grain loaf,seal_strength,0.97,pass
QC_501538,2025-05-17,BATCH_24171,Low GI Seed loaf,seal_strength,0.88,fail
QC_501539,2025-05-17,BATCH_25943,Soft white,temperature,0.84,fail
QC_501540,2025-04-14,BATCH_22926,Low GI Seed loaf,temperature,1.03,pass
QC_501541,2025-02-22,BATCH_22262,Whole grain loaf,moisture,0.93,fail
QC_501542,2025-06-11,BATCH_22024,Whole grain loaf,weight,1.1,pass
QC_501543,2025-02-04,BATCH_20324,Whole grain loaf,moisture,0.98,pass
QC_501544,2025-01-24,BATCH_22178,Soft white,moisture,1.2,pass
QC_501545,2025-05-08,BATCH_25421,Soft white,temperature,0.83,fail
QC_501546,2025-07-17,BATCH_21257,High Energy Brown,temperature,1.2,pass
QC_501547,2025-03-23,BATCH_24369,High Energy Brown,seal_strength,0.94,fail
QC_501548,2025-03-27,BATCH_22304,Whole grain loaf,temperature,1.03,pass
QC_501549,2025-03-04,BATCH_25610,Soft white,weight,0.86,fail
QC_501550,2025-03-01,BATCH_24888,High Energy Brown,moisture,1.04,pass
QC_501551,2025-03-09,BATCH_23816,Low GI Seed loaf,seal_strength,0.96,pass
QC_501552,2025-06-08,BATCH_23571,Soft white,weight,1.13,pass
QC_501553,2025-06-16,BATCH_24797,High Energy Brown,temperature,0.95,fail
QC_501554,2025-06-20,BATCH_23521,Low GI Seed loaf,weight,1.1,pass
QC_501555,2025-02-06,BATCH_20782,High Energy Brown,moisture,1.01,pass
QC_501556,2025-01-21,BATCH_24233,Soft white,moisture,0.87,fail
QC_501557,2025-04-04,BATCH_22754,Soft white,temperature,0.84,fail
QC_501558,2025-05-28,BATCH_23674,High Energy Brown,seal_strength,0.9,fail
QC_501559,2025-04-25,BATCH_25315,Low GI Seed loaf,temperature,0.97,pass
QC_501560,2025-01-07,BATCH_24308,Soft white,moisture,1.05,pass
QC_501561,2025-01-13,BATCH_22331,High Energy Brown,temperature,0.95,fail
QC_501562,2025-02-25,BATCH_21218,High Energy Brown,weight,1.01,pass
QC_501563,2025-07-25,BATCH_20863,Low GI Seed loaf,seal_strength,0.87,fail
QC_501564,2025-02-23,BATCH_20458,Soft white,seal_strength,0.91,fail
QC_501565,2025-04-23,BATCH_22167,Soft white,temperature,1.02,pass
QC_501566,2025-05-17,BATCH_22038,Soft white,weight,1.01,pass
QC_501567,2025-01-24,BATCH_21880,Low GI Seed loaf,seal_strength,1.07,pass
QC_501568,2025-05-11,BATCH_25236,Soft white,moisture,0.92,fail
QC_501569,2025-07-04,BATCH_25201,High Energy Brown,weight,0.97,pass
QC_501570,2025-02-15,BATCH_25879,Whole grain loaf,temperature,0.87,fail
QC_501571,2025-03-10,BATCH_22876,Whole grain loaf,temperature,1.12,pass
QC_501572,2025-06-13,BATCH_21238,Whole grain loaf,weight,0.84,fail
QC_501573,2025-01-16,BATCH_24485,High Energy Brown,seal_strength,1.05,pass
QC_501574,2025-04-05,BATCH_23736,High Energy Brown,moisture,0.94,fail
QC_501575,2025-03-22,BATCH_21368,High Energy Brown,moisture,0.8,fail
QC_501576,2025-03-09,BATCH_24971,Low GI Seed loaf,moisture,1.16,pass
QC_501577,2025-01-10,BATCH_25487,Soft white,temperature,0.81,fail
QC_501578,2025-05-16,BATCH_22155,Low GI Seed loaf,temperature,1.02,pass
QC_501579,2025-04-03,BATCH_23530,Soft white,weight,0.94,fail
QC_501580,2025-02-25,BATCH_24105,Whole grain loaf,temperature,1.06,pass
QC_501581,2025-03-21,BATCH_22292,Soft white,seal_strength,1.06,pass
QC_501582,2025-07-23,BATCH_23448,Low GI Seed loaf,temperature,0.89,fail
QC_501583,2025-05-10,BATCH_21105,Whole grain loaf,weight,0.92,fail
QC_501584,2025-04-21,BATCH_24674,Whole grain loaf,temperature,0.99,pass
QC_501585,2025-06-26,BATCH_20070,Whole grain loaf,seal_strength,1.18,pass
QC_501586,2025-03-10,BATCH_22618,Soft white,moisture,1.13,pass
QC_501587,2025-07-11,BATCH_21235,High Energy Brown,weight,1.02,pass
QC_501588,2025-03-12,BATCH_25065,Whole grain loaf,seal_strength,1.14,pass
QC_501589,2025-04-08,BATCH_24187,High Energy Brown,moisture,1.05,pass
QC_501590,2025-02-24,BATCH_21191,Whole grain loaf,temperature,1.12,pass
QC_501591,2025-02-23,BATCH_22107,Low GI Seed loaf,weight,1.07,pass
QC_501592,2025-07-21,BATCH_25310,Whole grain loaf,moisture,1.05,pass
QC_501593,2025-02-09,BATCH_23402,Whole grain loaf,moisture,1.0,pass
QC_501594,2025-05-24,BATCH_24668,Low GI Seed loaf,temperature,1.2,pass
QC_501595,2025-04-25,BATCH_25468,Low GI Seed loaf,seal_strength,1.14,pass
QC_501596,2025-07-10,BATCH_25780,Low GI Seed loaf,weight,0.81,fail
QC_501597,2025-03-08,BATCH_23462,High Energy Brown,temperature,0.85,fail
QC_501598,2025-02-08,BATCH_25021,High Energy Brown,weight,1.17,pass
QC_501599,2025-03-04,BATCH_24440,Low GI Seed loaf,seal_strength,1.0,pass
QC_501600,2025-03-13,BATCH_23947,Soft white,weight,0.87,fail
QC_501601,2025-01-10,BATCH_23776,Soft white,temperature,0.96,pass
QC_501602,2025-07-06,BATCH_24121,Low GI Seed loaf,moisture,1.02,pass
QC_501603,2025-04-09,BATCH_21985,Soft white,moisture,1.15,pass
QC_501604,2025-03-10,BATCH_22158,Whole grain loaf,moisture,1.07,pass
QC_501605,2025-02-03,BATCH_20306,Low GI Seed loaf,seal_strength,0.86,fail
QC_501606,2025-02-15,BATCH_24630,High Energy Brown,moisture,1.0,pass
QC_501607,2025-04-13,BATCH_20000,High Energy Brown,moisture,1.18,pass
QC_501608,2025-01-04,BATCH_24901,High Energy Brown,temperature,0.92,fail
QC_501609,2025-05-22,BATCH_23191,Low GI Seed loaf,seal_strength,1.05,pass
QC_501610,2025-02-02,BATCH_21076,High Energy Brown,moisture,0.85,fail
QC_501611,2025-02-25,BATCH_25441,Whole grain loaf,weight,1.09,pass
QC_501612,2025-03-09,BATCH_20013,Low GI Seed loaf,weight,0.85,fail
QC_501613,2025-07-05,BATCH_24922,Whole grain loaf,temperature,1.02,pass
QC_501614,2025-02-14,BATCH_21095,High Energy Brown,weight,0.9,fail
QC_501615,2025-06-25,BATCH_23773,Low GI Seed loaf,seal_strength,1.12,pass
QC_501616,2025-06-27,BATCH_23198,Soft white,seal_strength,0.96,pass
QC_501617,2025-03-20,BATCH_22271,Whole grain loaf,temperature,0.92,fail
QC_501618,2025-02-12,BATCH_20813,Whole grain loaf,temperature,0.82,fail
QC_501619,2025-05-05,BATCH_22874,High Energy Brown,temperature,1.13,pass
QC_501620,2025-04-14,BATCH_21666,Low GI Seed loaf,weight,0.98,pass
QC_501621,2025-04-04,BATCH_25987,Whole grain loaf,moisture,1.18,pass
QC_501622,2025-06-14,BATCH_20964,Low GI Seed loaf,weight,0.9,fail
QC_501623,2025-03-03,BATCH_25497,Whole grain loaf,moisture,0.97,pass
QC_501624,2025-03-01,BATCH_25007,High Energy Brown,temperature,1.14,pass
QC_501625,2025-05-02,BATCH_25353,Soft white,moisture,0.92,fail
QC_501626,2025-03-14,BATCH_20431,Whole grain loaf,temperature,1.09,pass
QC_501627,2025-05-28,BATCH_21734,Whole grain loaf,weight,1.15,pass
QC_501628,2025-04-09,BATCH_25937,Soft white,moisture,0.89,fail
QC_501629,2025-01-18,BATCH_20280,Whole grain loaf,weight,0.89,fail
QC_501630,2025-02-04,BATCH_25522,Low GI Seed loaf,weight,1.15,pass
QC_501631,2025-02-17,BATCH_24051,High Energy Brown,temperature,0.91,fail
QC_501632,2025-06-23,BATCH_23595,Whole grain loaf,temperature,1.19,pass
QC_501633,2025-06-26,BATCH_23992,Soft white,moisture,1.07,pass
QC_501634,2025-06-22,BATCH_22498,Soft white,seal_strength,0.91,fail
QC_501635,2025-07-04,BATCH_21119,Low GI Seed loaf,moisture,0.83,fail
QC_501636,2025-04-10,BATCH_24159,Whole grain loaf,moisture,1.08,pass
QC_501637,2025-05-27,BATCH_20312,Soft white,seal_strength,0.88,fail
QC_501638,2025-01-10,BATCH_23123,High Energy Brown,seal_strength,0.83,fail
QC_501639,2025-01-20,BATCH_21961,Soft white,seal_strength,1.14,pass
QC_501640,2025-03-16,BATCH_25007,High Energy Brown,seal_strength,0.88,fail
QC_501641,2025-02-02,BATCH_20534,High Energy Brown,seal_strength,0.92,fail
QC_501642,2025-01-20,BATCH_23640,Whole grain loaf,moisture,0.8,fail
QC_501643,2025-02-04,BATCH_23236,Soft white,moisture,0.99,pass
QC_501644,2025-03-09,BATCH_24874,Soft white,temperature,0.98,pass
QC_501645,2025-05-09,BATCH_23470,Soft white,seal_strength,1.01,pass
QC_501646,2025-06-10,BATCH_22622,Soft white,temperature,1.15,pass
QC_501647,2025-03-26,BATCH_21865,High Energy Brown,temperature,1.05,pass
QC_501648,2025-05-04,BATCH_22868,Whole grain loaf,seal_strength,1.06,pass
QC_501649,2025-07-25,BATCH_25106,Low GI Seed loaf,seal_strength,1.17,pass
QC_501650,2025-02-16,BATCH_24349,Soft white,moisture,1.18,pass
QC_501651,2025-01-28,BATCH_21317,Soft white,moisture,0.81,fail
QC_501652,2025-01-14,BATCH_24664,Low GI Seed loaf,temperature,0.9,fail
QC_501653,2025-06-04,BATCH_22814,High Energy Brown,moisture,1.2,pass
QC_501654,2025-02-26,BATCH_20174,Low GI Seed loaf,moisture,0.86,fail
QC_501655,2025-01-23,BATCH_25392,High Energy Brown,moisture,0.87,fail
QC_501656,2025-04-16,BATCH_25535,Low GI Seed loaf,moisture,1.1,pass
QC_501657,2025-05-06,BATCH_21335,High Energy Brown,moisture,0.9,fail
QC_501658,2025-06-16,BATCH_21692,Whole grain loaf,weight,1.01,pass
QC_501659,2025-02-07,BATCH_24149,High Energy Brown,seal_strength,0.93,fail
QC_501660,2025-05-07,BATCH_20807,Whole grain loaf,seal_strength,1.07,pass
QC_501661,2025-04-25,BATCH_20139,Whole grain loaf,moisture,0.88,fail
QC_501662,2025-02-21,BATCH_20316,Low GI Seed loaf,temperature,1.09,pass
QC_501663,2025-03-24,BATCH_21553,Soft white,seal_strength,0.97,pass
QC_501664,2025-06-20,BATCH_24515,Low GI Seed loaf,temperature,0.8,fail
QC_501665,2025-04-09,BATCH_24588,Soft white,seal_strength,0.95,pass
QC_501666,2025-06-20,BATCH_22523,Soft white,temperature,1.07,pass
QC_501667,2025-01-22,BATCH_25082,Low GI Seed loaf,seal_strength,0.81,fail
QC_501668,2025-06-03,BATCH_20246,Soft white,seal_strength,0.8,fail
QC_501669,2025-07-04,BATCH_24454,High Energy Brown,seal_strength,1.18,pass
QC_501670,2025-05-08,BATCH_22357,High Energy Brown,moisture,1.08,pass
QC_501671,2025-05-15,BATCH_20404,Soft white,temperature,1.1,pass
QC_501672,2025-03-28,BATCH_20728,Soft white,seal_strength,0.97,pass
QC_501673,2025-07-08,BATCH_22445,Low GI Seed loaf,weight,0.94,fail
QC_501674,2025-04-20,BATCH_23450,Soft white,seal_strength,0.95,fail
QC_501675,2025-03-26,BATCH_25988,High Energy Brown,temperature,1.07,pass
QC_501676,2025-07-23,BATCH_22807,Soft white,moisture,1.04,pass
QC_501677,2025-03-05,BATCH_22980,High Energy Brown,seal_strength,1.16,pass
QC_501678,2025-05-11,BATCH_21657,Whole grain loaf,temperature,1.17,pass
QC_501679,2025-02-21,BATCH_24251,Low GI Seed loaf,weight,1.02,pass
QC_501680,2025-04-13,BATCH_23073,Low GI Seed loaf,weight,1.05,pass
QC_501681,2025-07-04,BATCH_22180,High Energy Brown,weight,1.01,pass
QC_501682,2025-06-20,BATCH_21094,Whole grain loaf,temperature,0.9,fail
QC_501683,2025-06-27,BATCH_25588,High Energy Brown,seal_strength,0.95,pass
QC_501684,2025-02-16,BATCH_21949,High Energy Brown,weight,1.1,pass
QC_501685,2025-03-18,BATCH_23120,Soft white,seal_strength,0.87,fail
QC_501686,2025-05-27,BATCH_25990,Whole grain loaf,seal_strength,1.03,pass
QC_501687,2025-02-03,BATCH_24496,High Energy Brown,temperature,1.18,pass
QC_501688,2025-02-27,BATCH_22932,Low GI Seed loaf,moisture,0.96,pass
QC_501689,2025-04-17,BATCH_24686,Whole grain loaf,temperature,0.95,fail
QC_501690,2025-06-05,BATCH_24419,Soft white,weight,0.93,fail
QC_501691,2025-06-17,BATCH_25619,High Energy Brown,moisture,1.16,pass
QC_501692,2025-01-24,BATCH_24115,Whole grain loaf,temperature,1.08,pass
QC_501693,2025-02-16,BATCH_25381,Low GI Seed loaf,temperature,0.92,fail
QC_501694,2025-06-18,BATCH_25979,High Energy Brown,weight,0.96,pass
QC_501695,2025-05-25,BATCH_22850,Soft white,weight,1.19,pass
QC_501696,2025-07-11,BATCH_23846,Whole grain loaf,weight,0.89,fail
QC_501697,2025-01-11,BATCH_21621,Whole grain loaf,moisture,1.1,pass
QC_501698,2025-04-25,BATCH_21498,High Energy Brown,seal_strength,1.15,pass
QC_501699,2025-02-24,BATCH_21777,High Energy Brown,moisture,1.15,pass
QC_501700,2025-06-05,BATCH_22003,Soft white,weight,1.19,pass
QC_501701,2025-05-24,BATCH_24545,High Energy Brown,seal_strength,0.84,fail
QC_501702,2025-06-05,BATCH_20141,Whole grain loaf,weight,0.91,fail
QC_501703,2025-02-26,BATCH_21311,High Energy Brown,moisture,1.11,pass
QC_501704,2025-04-07,BATCH_24816,Soft white,seal_strength,1.0,pass
QC_501705,2025-02-14,BATCH_20022,Low GI Seed loaf,moisture,1.12,pass
QC_501706,2025-01-16,BATCH_22230,Soft white,seal_strength,1.19,pass
QC_501707,2025-04-02,BATCH_21892,Low GI Seed loaf,moisture,1.07,pass
QC_501708,2025-04-01,BATCH_25818,High Energy Brown,weight,1.03,pass
QC_501709,2025-02-03,BATCH_21009,Soft white,seal_strength,1.19,pass
QC_501710,2025-05-08,BATCH_23835,Low GI Seed loaf,temperature,1.08,pass
QC_501711,2025-03-10,BATCH_25401,Low GI Seed loaf,temperature,0.83,fail
QC_501712,2025-07-10,BATCH_20837,Low GI Seed loaf,seal_strength,1.18,pass
QC_501713,2025-01-09,BATCH_23781,High Energy Brown,moisture,0.95,fail
QC_501714,2025-01-09,BATCH_25755,Soft white,weight,1.05,pass
QC_501715,2025-01-13,BATCH_21913,Low GI Seed loaf,temperature,0.9,fail
QC_501716,2025-04-01,BATCH_21753,High Energy Brown,temperature,0.92,fail
QC_501717,2025-04-11,BATCH_20714,High Energy Brown,seal_strength,0.82,fail
QC_501718,2025-01-15,BATCH_25950,High Energy Brown,temperature,1.02,pass
QC_501719,2025-05-10,BATCH_23027,Low GI Seed loaf,temperature,0.92,fail
QC_501720,2025-01-12,BATCH_24087,Low GI Seed loaf,temperature,0.83,fail
QC_501721,2025-02-05,BATCH_23249,Whole grain loaf,seal_strength,0.98,pass
QC_501722,2025-05-17,BATCH_22708,Low GI Seed loaf,weight,0.85,fail
QC_501723,2025-04-08,BATCH_21449,Low GI Seed loaf,weight,0.83,fail
QC_501724,2025-03-28,BATCH_25380,Low GI Seed loaf,weight,1.02,pass
QC_501725,2025-01-27,BATCH_22800,Whole grain loaf,seal_strength,0.91,fail
QC_501726,2025-01-02,BATCH_22961,Soft white,temperature,1.01,pass
QC_501727,2025-06-12,BATCH_22950,Soft white,moisture,0.81,fail
QC_501728,2025-02-03,BATCH_23422,Whole grain loaf,weight,1.19,pass
QC_501729,2025-03-22,BATCH_21925,Low GI Seed loaf,weight,0.98,pass
QC_501730,2025-05-23,BATCH_22652,High Energy Brown,moisture,0.87,fail
QC_501731,2025-05-07,BATCH_20757,Whole grain loaf,weight,0.89,fail
QC_501732,2025-02-24,BATCH_25016,Low GI Seed loaf,seal_strength,1.04,pass
QC_501733,2025-07-03,BATCH_21948,High Energy Brown,temperature,1.05,pass
QC_501734,2025-02-11,BATCH_24893,Low GI Seed loaf,temperature,0.85,fail
QC_501735,2025-07-05,BATCH_23330,High Energy Brown,temperature,0.99,pass
QC_501736,2025-01-26,BATCH_25689,Soft white,temperature,1.18,pass
QC_501737,2025-01-14,BATCH_25260,High Energy Brown,weight,1.19,pass
QC_501738,2025-04-13,BATCH_22939,Soft white,temperature,1.04,pass
QC_501739,2025-02-21,BATCH_23243,High Energy Brown,temperature,0.9,fail
QC_501740,2025-01-26,BATCH_25570,Low GI Seed loaf,moisture,1.0,pass
QC_501741,2025-03-26,BATCH_24558,High Energy Brown,weight,1.11,pass
QC_501742,2025-06-05,BATCH_23096,High Energy Brown,weight,0.95,fail
QC_501743,2025-07-08,BATCH_24920,Low GI Seed loaf,temperature,1.08,pass
QC_501744,2025-05-28,BATCH_20246,Soft white,temperature,0.91,fail
QC_501745,2025-06-14,BATCH_25432,High Energy Brown,weight,1.12,pass
QC_501746,2025-02-12,BATCH_23097,Soft white,moisture,0.81,fail
QC_501747,2025-06-19,BATCH_22876,Low GI Seed loaf,moisture,0.91,fail
QC_501748,2025-07-25,BATCH_22159,Whole grain loaf,weight,1.15,pass
QC_501749,2025-06-14,BATCH_22408,Soft white,weight,1.11,pass
QC_501750,2025-07-21,BATCH_21733,Whole grain loaf,seal_strength,0.98,pass
QC_501751,2025-07-07,BATCH_22257,Soft white,temperature,1.16,pass
QC_501752,2025-05-11,BATCH_23100,Whole grain loaf,moisture,1.2,pass
QC_501753,2025-04-04,BATCH_21411,Low GI Seed loaf,moisture,1.16,pass
QC_501754,2025-05-17,BATCH_20153,Whole grain loaf,seal_strength,0.84,fail
QC_501755,2025-03-05,BATCH_21284,Whole grain loaf,weight,1.19,pass
QC_501756,2025-02-26,BATCH_21094,High Energy Brown,weight,1.2,pass
QC_501757,2025-03-07,BATCH_23676,High Energy Brown,seal_strength,0.83,fail
QC_501758,2025-03-02,BATCH_22170,High Energy Brown,seal_strength,1.09,pass
QC_501759,2025-04-07,BATCH_24468,Low GI Seed loaf,seal_strength,1.15,pass
QC_501760,2025-02-06,BATCH_25153,Whole grain loaf,temperature,0.99,pass
QC_501761,2025-01-17,BATCH_24860,Low GI Seed loaf,moisture,0.85,fail
QC_501762,2025-04-22,BATCH_21151,Whole grain loaf,weight,0.95,pass
QC_501763,2025-04-12,BATCH_20711,Whole grain loaf,weight,1.08,pass
QC_501764,2025-06-07,BATCH_25638,Low GI Seed loaf,weight,1.18,pass
QC_501765,2025-03-20,BATCH_25028,High Energy Brown,seal_strength,1.2,pass
QC_501766,2025-02-10,BATCH_23753,Soft white,weight,1.13,pass
QC_501767,2025-06-10,BATCH_25796,Soft white,temperature,1.09,pass
QC_501768,2025-06-27,BATCH_20352,Whole grain loaf,temperature,0.92,fail
QC_501769,2025-01-24,BATCH_20947,High Energy Brown,seal_strength,0.88,fail
QC_501770,2025-04-14,BATCH_22739,High Energy Brown,temperature,0.9,fail
QC_501771,2025-06-27,BATCH_22413,Low GI Seed loaf,seal_strength,0.88,fail
QC_501772,2025-06-03,BATCH_22318,Low GI Seed loaf,weight,1.11,pass
QC_501773,2025-04-17,BATCH_25504,Low GI Seed loaf,seal_strength,1.16,pass
QC_501774,2025-02-24,BATCH_20575,High Energy Brown,weight,0.9,fail
QC_501775,2025-01-01,BATCH_24307,Low GI Seed loaf,moisture,1.1,pass
QC_501776,2025-04-20,BATCH_25635,Whole grain loaf,moisture,1.08,pass
QC_501777,2025-03-09,BATCH_21478,Whole grain loaf,moisture,1.18,pass
QC_501778,2025-02-28,BATCH_20785,Low GI Seed loaf,weight,1.01,pass
QC_501779,2025-04-11,BATCH_22610,Low GI Seed loaf,seal_strength,0.84,fail
QC_501780,2025-04-05,BATCH_22882,Whole grain loaf,weight,0.86,fail
QC_501781,2025-03-15,BATCH_22352,Low GI Seed loaf,seal_strength,1.02,pass
QC_501782,2025-05-28,BATCH_23037,Whole grain loaf,weight,0.97,pass
QC_501783,2025-02-09,BATCH_22469,Soft white,weight,0.94,fail
QC_501784,2025-05-12,BATCH_24232,High Energy Brown,weight,1.11,pass
QC_501785,2025-07-10,BATCH_24764,Low GI Seed loaf,temperature,1.15,pass
QC_501786,2025-03-19,BATCH_23910,Low GI Seed loaf,seal_strength,1.08,pass
QC_501787,2025-05-22,BATCH_25848,Soft white,seal_strength,1.14,pass
QC_501788,2025-05-21,BATCH_24690,Low GI Seed loaf,moisture,1.18,pass
QC_501789,2025-02-27,BATCH_20932,Soft white,temperature,1.18,pass
QC_501790,2025-01-04,BATCH_23722,Low GI Seed loaf,seal_strength,0.93,fail
QC_501791,2025-06-18,BATCH_23240,Whole grain loaf,moisture,1.03,pass
QC_501792,2025-01-01,BATCH_25353,Soft white,temperature,0.87,fail
QC_501793,2025-07-16,BATCH_23684,High Energy Brown,temperature,1.09,pass
QC_501794,2025-02-09,BATCH_21368,Whole grain loaf,weight,1.07,pass
QC_501795,2025-05-08,BATCH_21474,Soft white,moisture,1.16,pass
QC_501796,2025-04-07,BATCH_23404,Soft white,seal_strength,0.96,pass
QC_501797,2025-04-09,BATCH_20335,Whole grain loaf,temperature,1.05,pass
QC_501798,2025-06-23,BATCH_23163,Low GI Seed loaf,moisture,0.81,fail
QC_501799,2025-04-13,BATCH_21308,Low GI Seed loaf,temperature,1.17,pass
QC_501800,2025-05-16,BATCH_23783,Low GI Seed loaf,seal_strength,0.83,fail
QC_501801,2025-04-26,BATCH_25154,Whole grain loaf,moisture,1.05,pass
QC_501802,2025-02-12,BATCH_22466,Soft white,seal_strength,1.01,pass
QC_501803,2025-03-25,BATCH_20395,Low GI Seed loaf,seal_strength,1.17,pass
QC_501804,2025-02-21,BATCH_25329,Low GI Seed loaf,weight,0.92,fail
QC_501805,2025-07-19,BATCH_25109,High Energy Brown,seal_strength,1.17,pass
QC_501806,2025-01-10,BATCH_24157,High Energy Brown,moisture,0.93,fail
QC_501807,2025-06-15,BATCH_20021,Whole grain loaf,moisture,1.0,pass
QC_501808,2025-05-09,BATCH_23306,Low GI Seed loaf,temperature,1.14,pass
QC_501809,2025-04-19,BATCH_22596,Whole grain loaf,moisture,1.09,pass
QC_501810,2025-05-12,BATCH_23152,High Energy Brown,moisture,1.03,pass
QC_501811,2025-03-02,BATCH_21127,Low GI Seed loaf,temperature,1.04,pass
QC_501812,2025-03-11,BATCH_20712,Soft white,seal_strength,1.0,pass
QC_501813,2025-06-17,BATCH_23862,Whole grain loaf,temperature,1.1,pass
QC_501814,2025-06-05,BATCH_22498,High Energy Brown,seal_strength,0.92,fail
QC_501815,2025-01-04,BATCH_23757,High Energy Brown,weight,0.91,fail
QC_501816,2025-02-12,BATCH_24582,Whole grain loaf,seal_strength,0.99,pass
QC_501817,2025-05-10,BATCH_21487,High Energy Brown,moisture,0.91,fail
QC_501818,2025-04-27,BATCH_21402,High Energy Brown,moisture,0.85,fail
QC_501819,2025-05-11,BATCH_22884,Whole grain loaf,weight,0.84,fail
QC_501820,2025-06-18,BATCH_20262,Low GI Seed loaf,seal_strength,0.96,pass
QC_501821,2025-04-06,BATCH_21737,High Energy Brown,seal_strength,0.93,fail
QC_501822,2025-03-16,BATCH_21008,Whole grain loaf,seal_strength,1.19,pass
QC_501823,2025-07-21,BATCH_22151,Soft white,weight,0.83,fail
QC_501824,2025-07-18,BATCH_25212,Low GI Seed loaf,moisture,1.17,pass
QC_501825,2025-07-20,BATCH_21254,Whole grain loaf,weight,0.84,fail
QC_501826,2025-03-24,BATCH_25861,Low GI Seed loaf,temperature,1.11,pass
QC_501827,2025-04-27,BATCH_22749,Whole grain loaf,seal_strength,0.84,fail
QC_501828,2025-04-13,BATCH_22359,Soft white,seal_strength,1.09,pass
